Country,Year,PIB,Code
Mali,1938,,MLI
Mali,1939,,MLI
Mali,1940,,MLI
Mali,1941,,MLI
Mali,1942,,MLI
Mali,1943,,MLI
Mali,1944,,MLI
Mali,1945,,MLI
Mali,1946,,MLI
Mali,1947,,MLI
Mali,1948,,MLI
Mali,1949,,MLI
Mali,1950,1685,MLI
Mali,1951,1747,MLI
Mali,1952,1811,MLI
Mali,1953,1879,MLI
Mali,1954,1946,MLI
Mali,1955,2018,MLI
Mali,1956,2093,MLI
Mali,1957,217,MLI
Mali,1958,2249,MLI
Mali,1959,2333,MLI
Mali,1960,2399,MLI
Mali,1961,2414,MLI
Mali,1962,2428,MLI
Mali,1963,2591,MLI
Mali,1964,2714,MLI
Mali,1965,2753,MLI
Mali,1966,2869,MLI
Mali,1967,2964,MLI
Mali,1968,3075,MLI
Mali,1969,306,MLI
Mali,1970,3248,MLI
Mali,1971,3361,MLI
Mali,1972,3535,MLI
Mali,1973,3449,MLI
Mali,1974,3365,MLI
Mali,1975,3831,MLI
Mali,1976,4352,MLI
Mali,1977,4648,MLI
Mali,1978,4524,MLI
Mali,1979,5612,MLI
Mali,1980,4953,MLI
Mali,1981,4787,MLI
Mali,1982,4512,MLI
Mali,1983,4711,MLI
Mali,1984,4918,MLI
Mali,1985,5029,MLI
Mali,1986,5348,MLI
Mali,1987,5449,MLI
Mali,1988,544,MLI
Mali,1989,5995,MLI
